REF_DATE,GEO,Gender,Sociodemographic characteristics,Indicators,VALUE
Apr-22,Canada (excluding territories),Women,"Total, LGBTQ2+ and non-LGBTQ2+ people",No opinion on sense of belonging to Canada,9.4
Apr-22,Canada (excluding territories),Women,LGBTQ2+ people,Very strong or somewhat strong sense of belonging to Canada,58.7
Apr-22,Canada (excluding territories),Women,LGBTQ2+ people,Somewhat weak or very weak sense of belonging to Canada,26.8
Apr-22,Canada (excluding territories),Women,LGBTQ2+ people,No opinion on sense of belonging to Canada,14.5
Apr-22,Canada (excluding territories),Women,Non-LGBTQ2+ people,Very strong or somewhat strong sense of belonging to Canada,73.2
Apr-22,Canada (excluding territories),Women,Non-LGBTQ2+ people,Somewhat weak or very weak sense of belonging to Canada,17.8
Apr-22,Canada (excluding territories),Women,Non-LGBTQ2+ people,No opinion on sense of belonging to Canada,9
Apr-22,Canada (excluding territories),Women,"Total, highest certificate, diploma or degree",Very strong or somewhat strong sense of belonging to Canada,72.1
Apr-22,Canada (excluding territories),Women,"Total, highest certificate, diploma or degree",Somewhat weak or very weak sense of belonging to Canada,18.5
Apr-22,Canada (excluding territories),Women,"Total, highest certificate, diploma or degree",No opinion on sense of belonging to Canada,9.4
Apr-22,Canada (excluding territories),Women,"No certificate, diploma or degree",Very strong or somewhat strong sense of belonging to Canada,73.7
Apr-22,Canada (excluding territories),Women,"No certificate, diploma or degree",Somewhat weak or very weak sense of belonging to Canada,10.7
Apr-22,Canada (excluding territories),Women,"No certificate, diploma or degree",No opinion on sense of belonging to Canada,15.6
Apr-22,Canada (excluding territories),Women,Secondary (high) school diploma or equivalency certificate,Very strong or somewhat strong sense of belonging to Canada,72.5
Apr-22,Canada (excluding territories),Women,Secondary (high) school diploma or equivalency certificate,Somewhat weak or very weak sense of belonging to Canada,17.1
Apr-22,Canada (excluding territories),Women,Secondary (high) school diploma or equivalency certificate,No opinion on sense of belonging to Canada,10.4
Apr-22,Canada (excluding territories),Women,"Postsecondary certificate, diploma or degree",Very strong or somewhat strong sense of belonging to Canada,71.6
Apr-22,Canada (excluding territories),Women,"Postsecondary certificate, diploma or degree",Somewhat weak or very weak sense of belonging to Canada,21
Apr-22,Canada (excluding territories),Women,"Postsecondary certificate, diploma or degree",No opinion on sense of belonging to Canada,7.5
Apr-22,Canada (excluding territories),Women,"Total, by main activity",Very strong or somewhat strong sense of belonging to Canada,72.1
Apr-22,Canada (excluding territories),Women,"Total, by main activity",Somewhat weak or very weak sense of belonging to Canada,18.5
Apr-22,Canada (excluding territories),Women,"Total, by main activity",No opinion on sense of belonging to Canada,9.4
Apr-22,Canada (excluding territories),Women,Working at a paid job or business,Very strong or somewhat strong sense of belonging to Canada,70.8
Apr-22,Canada (excluding territories),Women,Working at a paid job or business,Somewhat weak or very weak sense of belonging to Canada,20.4
Apr-22,Canada (excluding territories),Women,Working at a paid job or business,No opinion on sense of belonging to Canada,8.9
Apr-22,Canada (excluding territories),Women,Retired,Very strong or somewhat strong sense of belonging to Canada,79.5
Apr-22,Canada (excluding territories),Women,Retired,Somewhat weak or very weak sense of belonging to Canada,12.8
Apr-22,Canada (excluding territories),Women,Retired,No opinion on sense of belonging to Canada,7.7
Apr-22,Canada (excluding territories),Women,Other activity,Very strong or somewhat strong sense of belonging to Canada,68.2
Apr-22,Canada (excluding territories),Women,Other activity,Somewhat weak or very weak sense of belonging to Canada,20
Apr-22,Canada (excluding territories),Women,Other activity,No opinion on sense of belonging to Canada,11.8
Apr-22,Canada (excluding territories),Women,"Total, urban and rural areas",Very strong or somewhat strong sense of belonging to Canada,72.1
Apr-22,Canada (excluding territories),Women,"Total, urban and rural areas",Somewhat weak or very weak sense of belonging to Canada,18.5
Apr-22,Canada (excluding territories),Women,"Total, urban and rural areas",No opinion on sense of belonging to Canada,9.4
Apr-22,Canada (excluding territories),Women,Urban areas,Very strong or somewhat strong sense of belonging to Canada,72.5
Apr-22,Canada (excluding territories),Women,Urban areas,Somewhat weak or very weak sense of belonging to Canada,18.3
Apr-22,Canada (excluding territories),Women,Urban areas,No opinion on sense of belonging to Canada,9.2
Apr-22,Canada (excluding territories),Women,Rural areas,Very strong or somewhat strong sense of belonging to Canada,70.3
Apr-22,Canada (excluding territories),Women,Rural areas,Somewhat weak or very weak sense of belonging to Canada,19.2
Apr-22,Canada (excluding territories),Women,Rural areas,No opinion on sense of belonging to Canada,10.4
